corpus,dataset,truefam,n_calib,reg_binary,reg_alpha10,reg_direct10,reg_oracle
ovrbench,seismic-bumps,local,15,0.1054,0.0000,0.0005,0.0
tsbad_m,143_CATSv2_id_6_Sensor_tr_50000_1st_6023,global,21,0.1196,0.2505,0.0005,0.0
tsbad_m,108_SVDB_id_25_Medical_tr_1238_1st_1338.,local,20,0.0000,0.0000,0.0562,0.0
tsbad_m,104_SVDB_id_21_Medical_tr_50000_1st_1066,local,15,0.0610,0.0000,0.0000,0.0
oddbench,CarMakeAnomaly,local,16,0.0417,0.0289,0.0000,0.0
ovrbench,mozilla4,local,18,0.0000,0.0000,0.0288,0.0
oddbench,FishingAnomalies,local,46,0.2215,0.2215,0.0186,0.0
oddbench,AquaticMacroInverts,global,26,0.5270,0.0739,0.0000,0.0
oddbench,UserEventAnomalies,global,20,0.0000,0.0000,0.0000,0.0
oddbench,RealEstateProperties,local,13,0.1409,0.0621,0.0414,0.0
tsbad_m,053_GHL_id_22_Sensor_tr_50000_1st_126448,local,42,0.3021,0.2715,0.0296,0.0
ovrbench,HeadingDetection,global,284,0.1625,0.1625,0.0003,0.0
adbench,27_PageBlocks,local,12,0.0000,0.0000,0.0664,0.0
dami,PageBlocks,local,12,0.0086,0.1028,0.0076,0.0
tsbad_m,138_CATSv2_id_1_Sensor_tr_16568_1st_1666,local,13,0.0391,0.0391,0.0000,0.0
oddbench,AustinCrime,local,10,0.0401,0.0401,0.0071,0.0
ovrbench,thyroid-ann,global,10,0.2366,0.2366,0.2366,0.0
ovrbench,GeneExpressionCoactivator,global,10,0.0404,0.0404,0.0023,0.0
adbench,23_mammography,global,11,0.0722,0.0722,0.0291,0.0
