corpus,dataset,truefam,reg_random,reg_p1,reg_pe,corr_str,lev,reg_beta1,reg_matched,reg_em,reg_mv,reg_consensus,reg_model_centrality,reg_hits,reg_corr_str,reg_combined
tsbad_m,099_SVDB_id_16_Medical_tr_1115_1st_1215.,local,0.1137481987457708,0.0,0.02489486148457143,0.4552526752836554,-0.00848905109489051,0.0,0.0,0.02489486148457143,0.02489486148457143,0.1494556310813835,0.1494556310813835,0.1494556310813835,0.0,0.0
oddbench,RulePriorityAnomalies,global,0.10190571339743291,0.0048077598317112225,0.1256401130016223,0.16132969691102364,-0.1238814756671901,0.0048077598317112225,0.0048077598317112225,0.010307235059453093,0.01737374804112299,0.1256401130016223,0.1256401130016223,0.12917459288616906,0.1256401130016223,0.0048077598317112225
oddbench,WaterChemistry,local,0.4828616195054579,0.0,0.09382276055857175,0.43242732097927994,-0.025021079258010115,0.0,0.0,0.5633167528918326,0.5633167528918326,0.48141740378469255,0.48141740378469255,0.48141740378469255,0.0,0.0
ovrbench,EmployeePerformance,local,0.4763136824661399,0.0913918702608651,0.5418070193718372,0.28184482431979757,-0.14070000000000005,0.0913918702608651,0.5418070193718372,0.0913918702608651,0.0913918702608651,0.5152677852737424,0.5152677852737424,0.5152677852737424,0.0913918702608651,0.0913918702608651
ovrbench,SepsisMonitoring,local,0.06411633909843457,0.11655867615474362,0.07357351133123306,0.14035010068732925,-0.19748333333333346,0.11655867615474362,0.07357351133123306,0.060583033702613996,0.05962312959774319,0.060583033702613996,0.060583033702613996,0.060583033702613996,0.07357351133123306,0.07357351133123306
tsbad_m,113_SVDB_id_30_Medical_tr_4552_1st_4652.,global,0.10145613627922931,0.08361958283459373,0.08883310625219658,0.6217655605403204,-0.011164150943396178,0.08361958283459373,0.08361958283459373,0.08883310625219658,0.08883310625219658,0.12800658448573454,0.12800658448573454,0.08539019995556876,0.08361958283459373,0.08361958283459373
ovrbench,BatchProcessingEvents,local,0.05384374264987729,0.058397221162120004,0.07871139521302038,0.1669618450738831,-0.20770416666666658,0.058397221162120004,0.07871139521302038,0.07871139521302038,0.07121839548022027,0.07871139521302038,0.07871139521302038,0.07871139521302038,0.07871139521302038,0.07871139521302038
ovrbench,PhysicsTraining,local,0.11806718894628333,0.1837829312643468,0.16346761322356754,0.09489564864580094,-0.15622500000000006,0.1837829312643468,0.16346761322356754,0.1470701520083105,0.1470701520083105,0.21511536309878254,0.21511536309878254,0.21719287305721371,0.16346761322356754,0.16346761322356754
ovrbench,volkert,global,0.29442710638631,0.267499754337892,0.267499754337892,0.19588333367087324,-0.036329166666666635,0.267499754337892,0.267499754337892,0.10538857605991536,0.10538857605991536,0.3004155224549792,0.3004155224549792,0.48434885491751906,0.267499754337892,0.267499754337892
ovrbench,FireRiskAnalysis,global,0.10354936890937023,0.01467749850148023,0.014955115428829727,0.34270528676403444,-0.18111250000000012,0.01467749850148023,0.014955115428829727,0.03579989269387816,0.03579989269387816,0.012025127735287494,0.012025127735287494,0.012025127735287494,0.01467749850148023,0.01467749850148023
adbench,30_satellite,global,0.40802459764825555,0.18626760098810935,0.18626760098810935,0.6848088255883497,-0.00017045454545450145,0.18626760098810935,0.18626760098810935,0.335964348845692,0.335964348845692,0.5320146794154639,0.5320146794154639,0.3054587559331252,0.18626760098810935,0.18626760098810935
oddbench,AttackIncidents,local,0.06364244367424594,0.034658549411141236,0.034658549411141236,0.16331834502893247,-0.2011986681465039,0.034658549411141236,0.034658549411141236,0.034658549411141236,0.034658549411141236,0.10030336842097101,0.10030336842097101,0.10030336842097101,0.034658549411141236,0.034658549411141236
tsbad_m,102_SVDB_id_19_Medical_tr_50000_1st_1073,local,0.3567638052550546,0.07872474796417889,0.10600684220289985,0.565048262373571,-0.013252697528715496,0.07872474796417889,0.07872474796417889,0.10600684220289985,0.10600684220289985,0.5029085628920185,0.5029085628920185,0.5029085628920185,0.07872474796417889,0.07872474796417889
ovrbench,RealEstateData,global,0.5204522668879755,0.20348402128455056,0.15183700717597598,0.011999791308374605,-0.09401413189771202,0.20348402128455056,0.20348402128455056,0.20348402128455056,0.20348402128455056,0.7428150907121899,0.7428150907121899,0.6140033966320481,0.15183700717597598,0.20348402128455056
tsbad_m,096_SVDB_id_13_Medical_tr_500_1st_444.cs,local,0.13134775725795259,0.0,0.04217647301175417,0.5093550199874876,-0.012401278676194116,0.0,0.0,0.04217647301175417,0.04217647301175417,0.17595309214204852,0.17595309214204852,0.17595309214204852,0.0,0.0
oddbench,RacingMotion,local,0.5001195039592232,0.9391296238090816,0.9391296238090816,0.16769744089996802,-0.10777916666666654,0.9391296238090816,0.9391296238090816,0.9391296238090816,0.9391296238090816,0.6751821161565708,0.6751821161565708,0.6751821161565708,0.9391296238090816,0.9391296238090816
ovrbench,CryptojackingSystem,local,0.2744484204916834,0.038069742972189236,0.3098955000917445,0.2857711119615957,-0.11399791666666681,0.038069742972189236,0.038069742972189236,0.3098955000917445,0.3066390227861265,0.313246502383935,0.313246502383935,0.313246502383935,0.038069742972189236,0.038069742972189236
