corpus,dataset,knn_orig,catch_orig,catch_comb,fp_comb,nhard_comb,neff_comb,knn_after
ovrbench,SpotifyHitPredictor,0.582,0.22,0.54,0.04,188,182,0.134
ovrbench,UserInteraction1,0.716,0.81,0.94,0.06,87,64,0.14
tsbad_m,092_SVDB_id_9_Medical_tr_2674_1st_2774.c,0.121,0.69,0.72,0.08,243,218,0.063
ovrbench,AbstractAnomalyBatch,0.004,0.3,0.32,0.07,288,227,0.001
oddbench,VoteOutcome,0.246,0.58,0.65,0.06,236,224,0.156
tsbad_m,143_CATSv2_id_6_Sensor_tr_50000_1st_6023,0.613,0.12,0.57,0.05,120,52,0.053
ovrbench,students_dropout_and_academic_success,0.393,0.15,0.38,0.07,194,188,0.156
ovrbench,visualizing_soil,0.666,0.19,0.26,0.08,242,230,0.641
oddbench,CasePriority,0.428,0.02,0.23,0.05,209,195,0.306
adbench,44_Wilt,0.041,0.02,0.02,0.07,252,200,0.04
oddbench,GeneticAnalysis,-0.005,0.12,0.16,0.06,248,207,-0.007
dami,Wilt,0.041,0.02,0.02,0.07,252,200,0.04
oddbench,ProgrammingAnomalies,0.0,0.1,0.11,0.06,242,170,0.0
oddbench,RealEstateBlockType,0.022,0.15,0.17,0.06,228,204,0.01
tsbad_m,112_SVDB_id_29_Medical_tr_8226_1st_8326.,0.003,0.13,0.15,0.07,194,157,0.001
ovrbench,HealthMetrics,0.008,0.15,0.21,0.08,197,164,-0.006
tsbad_m,084_SVDB_id_1_Medical_tr_12973_1st_13073,0.079,0.29,0.36,0.07,200,173,0.038
oddbench,UserEventAnomalies,0.477,0.04,0.1,0.05,207,125,0.46
oddbench,BugSeverity,0.113,0.07,0.16,0.05,191,178,0.05
ovrbench,mozilla4,-0.015,0.81,0.82,0.07,182,131,-0.013
ovrbench,BankruptcyForecast,0.009,0.07,0.08,0.06,187,152,0.006
oddbench,CarMakeAnomaly,0.085,0.14,0.22,0.07,159,136,0.051
ovrbench,ozone-level-8hr,-0.052,0.01,0.01,0.05,158,100,-0.052
ovrbench,seismic-bumps,0.098,0.08,0.11,0.06,151,146,0.085
tsbad_m,104_SVDB_id_21_Medical_tr_50000_1st_1066,0.069,0.41,0.43,0.07,152,139,0.053
oddbench,AustinCrime,0.137,0.26,0.47,0.06,109,107,0.011
ovrbench,GeneExpressionCoactivator,0.47,0.68,0.8,0.06,115,112,0.252
oddbench,RealEstateProperties,0.139,0.36,0.39,0.06,133,125,0.127
tsbad_m,138_CATSv2_id_1_Sensor_tr_16568_1st_1666,0.536,0.23,0.64,0.06,49,30,0.061
ovrbench,thyroid-ann,0.367,0.46,0.5,0.06,142,138,0.339
adbench,23_mammography,0.078,0.55,0.6,0.07,105,94,0.059
oddbench,DeveloperSurvey,0.036,0.0,0.13,0.04,103,89,-0.006
oddbench,GenomicSequencing,0.308,0.0,0.27,0.05,85,81,0.212
