corpus,dataset,truefam,reg_binary,reg_maxdisagree,reg_alpha_localev,reg_bestalpha_oracle
ovrbench,Run_or_walk_information,local,0.0,0.0,0.032463092023819584,0.0
tsbad_m,141_CATSv2_id_4_Sensor_tr_41727_1st_4182,global,0.4658185086428539,0.4658185086428539,0.4658185086428539,0.15163815963957028
ovrbench,FinancialTransaction1,global,0.07378033338239547,0.07378033338239547,0.07378033338239547,0.05741920691190802
oddbench,ArtSalesPlatform,global,0.1030984037978637,0.1030984037978637,0.1030984037978637,0.1030984037978637
tsbad_m,103_SVDB_id_20_Medical_tr_12167_1st_1226,local,0.0,0.0,0.0,0.0
ovrbench,AbstractAnomalyBatch,local,0.8824316690073153,0.8824316690073153,0.8824316690073153,0.8824316690073153
ovrbench,visualizing_soil,global,0.6556736708631983,0.5769539622518834,0.5769539622518834,0.5769539622518834
ovrbench,GamingBehavior,local,0.3009563002803129,0.3009563002803129,0.3009563002803129,0.3009563002803129
oddbench,GeneticAnalysis,global,0.016370895056798437,0.016370895056798437,0.016370895056798437,0.016370895056798437
oddbench,AxieInfinityBug,global,0.050204936873365996,0.050204936873365996,0.050204936873365996,0.0
oddbench,RealEstateBlockType,global,0.04167847856628333,0.04167847856628333,0.04167847856628333,0.04167847856628333
oddbench,WaterPointFunctionality,local,0.0,0.0,0.04456556052315688,0.0
oddbench,SMSClassification,global,0.42016641376338,0.42016641376338,0.42016641376338,0.07119140031766896
ovrbench,KPIData,local,0.08498857559142758,0.08498857559142758,0.08498857559142758,0.08498857559142758
ovrbench,ShuttleOperations,local,0.0,0.0,0.01639716169508587,0.0
tsbad_m,112_SVDB_id_29_Medical_tr_8226_1st_8326.,global,0.04822041738971427,0.04822041738971427,0.04822041738971427,0.04822041738971427
oddbench,CasePriority,local,0.1283025771709303,0.1283025771709303,0.1283025771709303,0.002345459867423294
dami,Wilt,local,0.18640117483227414,0.0,0.23035949055871335,0.0
adbench,44_Wilt,local,0.18830805890822283,0.07215119804934389,0.4456969079747201,0.07215119804934389
ovrbench,SpotifyHitPredictor,global,0.057203771046730745,0.08398418771638078,0.057203771046730745,0.057203771046730745
oddbench,TreadmillStatus,local,0.31488537873503997,0.31488537873503997,0.6528875246189886,0.31488537873503997
ovrbench,students_dropout_and_academic_success,local,0.09980372521809033,0.09980372521809033,0.09980372521809033,0.0027673689409312696
ovrbench,MalariaDetection,global,0.8296380183362532,0.8296380183362532,0.19109976691856356,0.19109976691856356
ovrbench,GesturePhaseSegmentationProcessed,local,0.0,0.0,0.02072854257418638,0.0
ovrbench,HealthMetrics,local,0.05367703833782012,0.05367703833782012,0.06379267961599229,0.05367703833782012
oddbench,BugSeverity,global,0.003264449301134467,0.003264449301134467,0.003264449301134467,0.003264449301134467
