corpus,dataset,truefam,reg_random,reg_beta1,reg_matched,reg_em,reg_mv,reg_consensus,reg_model_centrality,reg_hits
oddbench,LandRarity,global,0.1969051324238885,0.0,0.0,0.0,0.0,0.2045560440448528,0.2045560440448528,0.2007435020883696
oddbench,ProgrammingAnomalies,local,0.1891000490574879,0.2178340248838213,0.2649048115216901,0.2594299078250727,0.2649048115216901,0.2649048115216901,0.2649048115216901,0.2649048115216901
oddbench,WindowsEditionAnomaly,global,0.3319080305490998,0.5063578553412765,0.5063578553412765,0.3975653241787671,0.3975653241787671,0.0180072576134199,0.0180072576134199,0.0180072576134199
ovrbench,BankruptcyForecast,global,0.0923444362090993,0.0981570735182205,0.0981570735182205,0.0788614397883365,0.0788614397883365,0.0973051072613533,0.0973051072613533,0.0973051072613533
ovrbench,seismic-bumps,local,0.0708501732685331,0.1303692145243776,0.0460497526063253,0.0449512163322862,0.0449512163322862,0.0365080657476466,0.0365080657476466,0.020265312118499
oddbench,CarMakeAnomaly,local,0.0461922393002101,0.0556504486567737,0.039685457467702,0.0556504486567737,0.039685457467702,0.039685457467702,0.039685457467702,0.0441042218624064
ovrbench,mozilla4,local,0.0557094956295056,0.0330476645491301,0.0330476645491301,0.076614856097649,0.076614856097649,0.0749163338426582,0.0749163338426582,0.0339588650343503
oddbench,FishingAnomalies,local,0.1831085193270378,0.2301877648140196,0.2301877648140196,0.2289508342761375,0.2289508342761375,0.1918446657028287,0.1918446657028287,0.1918446657028287
oddbench,AquaticMacroInverts,global,0.3982236923730295,0.5528517885730906,0.0706137724712425,0.0,0.0706137724712425,0.0706137724712425,0.0706137724712425,0.0706137724712425
oddbench,UserEventAnomalies,global,0.8451462922585516,0.0,0.0,0.8864770996239905,0.7889438223816942,0.814173598195401,0.814173598195401,0.814173598195401
oddbench,RealEstateProperties,local,0.0909923598957783,0.0630083244563921,0.0644179678908998,0.0644179678908998,0.0633875075956688,0.0488546980053115,0.0488546980053115,0.0488546980053115
ovrbench,HeadingDetection,local,0.2576595080799982,0.177038455998056,0.3503255600962376,0.335013777256415,0.177038455998056,0.3503255600962376,0.3503255600962376,0.3503255600962376
dami,PageBlocks,local,0.1246679434605939,0.0236613780829954,0.103491753314262,0.1341959412045122,0.103491753314262,0.1705633159898055,0.1658062573063778,0.1658062573063778
adbench,27_PageBlocks,local,0.2894162880208307,0.0425080069421955,0.0425080069421955,0.294066291473962,0.4507288905976322,0.2823967721031289,0.2823967721031289,0.2823967721031289
oddbench,AustinCrime,local,0.10145813322169,0.1422382943892954,0.1422382943892954,0.0446149521414836,0.0446149521414836,0.1180186922817768,0.1180186922817768,0.1180186922817768
ovrbench,thyroid-ann,global,0.2105008558448232,0.2277249664657329,0.2823223535447199,0.2823223535447199,0.0308041758827858,0.2696775083293052,0.2696775083293052,0.2696775083293052
ovrbench,GeneExpressionCoactivator,global,0.1392561598054191,0.2447596944783081,0.0498150206483333,0.0076298564280398,0.0398929556279054,0.0398929556279054,0.0398929556279054,0.0398929556279054
adbench,23_mammography,global,0.0928505748064063,0.0221779024714163,0.0221779024714163,0.0978864693785729,0.0978864693785729,0.1218845179155166,0.1218845179155166,0.1218845179155166
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,global,0.04579858934508324,0.02105282065385039,0.02105282065385039,0.029736168638369836,0.029736168638369836,0.03357784625185564,0.03357784625185564,0.03357784625185564
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,local,0.17778856269206544,0.005715416425773112,0.005715416425773112,0.06870209304552621,0.06870209304552621,0.2567170114920943,0.2567170114920943,0.17473198864090944
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,local,0.07324014334532533,0.010109404874908426,0.010109404874908426,0.03393799242896453,0.03393799242896453,0.0966003913701241,0.0966003913701241,0.0966003913701241
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,local,0.030458035482045606,0.013959903068162607,0.013959903068162607,0.015010790910215455,0.008201610786069891,0.027090935213719372,0.027090935213719372,0.027090935213719372
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,local,0.09009864170789232,0.0,0.0,0.06994495681578458,0.06994495681578458,0.11079487058778788,0.11079487058778788,0.11079487058778788
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,local,0.053442994535667955,0.00944201059689772,0.00944201059689772,0.027760680342404184,0.027760680342404184,0.0642585081996456,0.0642585081996456,0.07351940587083061
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,local,0.11909041571243781,0.04254142069644296,0.04254142069644296,0.0723795161488252,0.0723795161488252,0.1397938002471945,0.1397938002471945,0.1397938002471945
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,local,0.10065766897263434,0.022962174396673973,0.022962174396673973,0.007918282495705975,0.16108776051033002,0.15815865575901605,0.15815865575901605,0.15815865575901605
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,local,0.04696152993264289,0.02524518018684918,0.02524518018684918,0.01304488689544303,0.01403239230310177,0.060217897415617117,0.060217897415617117,0.006048747198635351
