corpus,dataset,truefam,local_ev,reg_binary,reg_alpha_s2,reg_alpha_s4,reg_alpha_s8
ovrbench,TrafficSensor,local,-0.017514583333333444,0.04001194767990812,0.04001194767990812,0.04001194767990812,0.04001194767990812
ovrbench,PokemonBattle,local,-0.22059791666666662,0.09473114414180797,0.00500450954297299,0.09473114414180797,0.09473114414180797
tsbad_m,022_MITDB_id_4_Medical_tr_50000_1st_5425,local,-0.031074004808976596,0.03373461753512227,0.03373461753512227,0.03373461753512227,0.03373461753512227
ovrbench,RealEstateListings,local,-0.09166666666666679,0.1440009715979066,0.15802798301169962,0.15802798301169962,0.15802798301169962
oddbench,BuildingInspections,global,-0.1111854166666667,0.18904614220708357,0.1477245173142611,0.1477245173142611,0.1477245173142611
tsbad_m,026_MITDB_id_8_Medical_tr_30495_1st_3059,local,-0.004298564786739512,0.009531369026063219,0.009531369026063219,0.009531369026063219,0.009531369026063219
ovrbench,ViralProteinFunction,local,-0.0998916666666666,0.2508512299709335,0.13797002850855508,0.13797002850855508,0.2508512299709335
ovrbench,GeotechnicalAnomalies,local,-0.19901121605667071,0.2317633107194894,0.015816394719659385,0.015816394719659385,0.2477325349972867
tsbad_m,098_SVDB_id_15_Medical_tr_500_1st_303.cs,local,-0.02081494057724964,0.02098281668605162,0.02098281668605162,0.02098281668605162,0.02098281668605162
oddbench,ProtestViolence,global,-0.015291666666666703,0.8650689069673555,0.8650689069673555,0.8650689069673555,0.8650689069673555
ovrbench,BreastCancer,global,-0.21070381231671553,0.12889824179369902,0.0,0.0,0.0
ovrbench,UserMovieInteractions,global,-0.2874958333333334,0.33820714127581086,0.33820714127581086,0.33820714127581086,0.33820714127581086
ovrbench,Word2VecPCA,global,-0.14995416666666672,0.14870107706551605,0.17806805720619134,0.17806805720619134,0.17806805720619134
tsbad_m,085_SVDB_id_2_Medical_tr_50000_1st_54982,local,-0.0013237384506041838,0.002786278459412539,0.002786278459412539,0.002786278459412539,0.002786278459412539
ovrbench,TextAnomalyDetection,global,0.0015083333333333337,0.030437757314276576,0.10330580799309148,0.030437757314276576,0.030437757314276576
ovrbench,BNG(cmc),global,-0.2118874999999999,0.0,0.2991568885923769,0.2991568885923769,0.2991568885923769
oddbench,GlobalTerrorismAttack,global,-0.09863958333333334,0.6227314669624484,0.6227314669624484,0.6227314669624484,0.6227314669624484
tsbad_m,021_MITDB_id_3_Medical_tr_50000_1st_5759,local,-0.00030088958660390297,0.018693934986316774,0.018693934986316774,0.018693934986316774,0.018693934986316774
