corpus,dataset,n_anom,n_norm,frac_triv,n_hard,br_hard
ovrbench,ImageSegmentation,303,520,0.0,303,0.36816524908825254
ovrbench,JobChangePatterns,2864,2400,0.0006983240223463687,2862,0.54389965792464
ovrbench,JobMarket,109,714,0.0,109,0.13244228432547697
ovrbench,KDD,459,1007,0.030501089324618737,445,0.30647382920089083
ovrbench,KPIData,386,2400,0.03626943005181347,372,0.1341991341990858
ovrbench,KenyaMovement,400,2400,0.1025,359,0.1301196085537767
ovrbench,KickstarterCampaigns,31296,2400,0.5476738241308794,14156,0.8550374486590447
ovrbench,MalariaDetection,1153,2400,0.02515177797051171,1124,0.31895573212249745
ovrbench,MalwareHardwareMetrics,802,2400,0.3802992518703242,497,0.17155678287878096
ovrbench,MissingInformation1,269,1025,0.7063197026022305,79,0.07155797101442794
ovrbench,MolecularAnomalies1,199,471,0.0,199,0.29701492537269103
ovrbench,MolecularBinding,239,535,0.46443514644351463,128,0.19306184012037245
ovrbench,NetworkHealthMonitor,1543,2400,0.02268308489954634,1508,0.38587512794258294
ovrbench,NeuroSignalEEG,14578,2400,0.07127177939360681,13539,0.8494259363824048
ovrbench,OrbitalAnomalies,113,591,1.0,0,0.0
ovrbench,PatientSurvival1,73,422,0.1095890410958904,65,0.1334702258724159
ovrbench,PerformanceBenchmark,94,486,0.24468085106382978,71,0.12746858168738337
ovrbench,PhysicsTraining,4080,2400,0.11151960784313726,3625,0.6016597510372445
ovrbench,PizzaDetection,155,800,0.5548387096774193,69,0.0794016110470893
ovrbench,PokemonBattle,1214,2400,0.10543657331136738,1086,0.3115318416522342
ovrbench,PoseDetection,342,651,0.03216374269005848,331,0.33706720977562415
ovrbench,PredictiveMaintenance,886,2400,1.0,0,0.0
ovrbench,ProductionWorkflow,282,487,0.03900709219858156,271,0.35751978891773417
ovrbench,PsychoPrediction,14736,2400,0.033184039087947884,14247,0.8558298792574724
ovrbench,RealEstateData,491,1486,0.0,491,0.2483560950934505
ovrbench,RealEstateListings,4730,2400,0.06427061310782241,4426,0.6484031643714256
ovrbench,ReviewSentiment,146,888,0.6506849315068494,51,0.05431309904147571
ovrbench,Run_or_walk_information,3170,2400,0.005362776025236593,3153,0.5678011885466292
ovrbench,Satellite,75,2010,0.8,15,0.007407407407403749
ovrbench,ScientificMeasurement,278,459,0.22661870503597123,215,0.3189910979223754
ovrbench,SensorAnomaly,1248,2400,0.10096153846153846,1122,0.318568994889177
ovrbench,SepsisMonitoring,890,2400,0.014606741573033709,877,0.2676228257551823
ovrbench,ShillBidding,498,2259,0.08433734939759036,456,0.1679558011049105
ovrbench,ShuttleOperations,2573,2400,0.5899727944034201,1055,0.3053545586106207
ovrbench,SolarFlare,11673,2400,0.38310631371541165,7201,0.7500260389541974
ovrbench,SpatialAnomalies,637,1022,0.13657770800627944,550,0.3498727735366731
ovrbench,SpectralImaging,6422,2400,0.24166926191217689,4870,0.669876203576249
ovrbench,SpeechAnalysis,988,2400,0.6781376518218624,318,0.11699779249443819
ovrbench,SpotifyHitPredictor,411,1280,0.25304136253041365,307,0.19344675488330595
ovrbench,StockMarketAnomaly,136,360,1.0,0,0.0
ovrbench,SwampAnomaly,236,495,0.09322033898305085,214,0.3018335684057802
ovrbench,SyntheticNumericalBatch,334,1976,0.02694610778443114,325,0.14124293785304595
ovrbench,SystemComponents,74,562,0.06756756756756757,69,0.10935023771773479
ovrbench,SystemPerformance2,610,2000,0.9180327868852459,50,0.02439024390242713
ovrbench,TextAnomalyDetection,2011,2400,0.04922923918448533,1912,0.44341372912791194
ovrbench,ThermalAnomaly,1816,2400,0.9928414096916299,13,0.005387484459177212
ovrbench,ThyroidFunction,133,1067,0.5112781954887218,65,0.05742049469959592
ovrbench,TrafficSensor,3844,2400,0.7614464099895941,917,0.27645462767552714
ovrbench,TwitterEmotion,670,1192,0.08955223880597014,610,0.3385127635958166
ovrbench,UrlAnalysis,790,1272,0.13924050632911392,680,0.34836065573752645
ovrbench,UserInteraction1,1577,2400,0.8059606848446417,306,0.11308203991126642
ovrbench,UserMovieInteractions,5503,2400,0.006360167181537343,5468,0.6949669547533432
ovrbench,ViralProteinFunction,12500,2400,0.212,9850,0.8040816326529956
ovrbench,WebpageSessionIntrusion,2258,2400,0.11868910540301152,1990,0.4533029612755231
ovrbench,WellMetrics,36,430,0.0,36,0.0772532188839544
ovrbench,Word2VecPCA,1496,2400,0.04077540106951872,1435,0.37418513689690375
ovrbench,XSSDetection,6051,2400,0.06990580069410014,5628,0.7010463378175509
ovrbench,ailerons,1832,2400,0.259825327510917,1356,0.3610223642171563
ovrbench,compass,1425,2400,0.05754385964912281,1343,0.3588030991182584
ovrbench,dry_bean_dataset,309,1419,0.9288025889967637,22,0.01526717557250849
ovrbench,guillermo,1327,2400,0.0,1327,0.3560504427152251
ovrbench,internet_firewall,4121,2400,0.26522688667799077,3028,0.5578481945466915
ovrbench,jannis,7706,2400,0.029327796522190502,7480,0.7570850202428383
ovrbench,jasmine,139,597,0.04316546762589928,133,0.18219178082166823
ovrbench,madeline,193,632,0.0,193,0.23393939393911037
ovrbench,malware-analysis-datasets-pe-section-headers,1725,2400,0.0463768115942029,1645,0.4066749072928537
ovrbench,mozilla4,998,2400,0.8086172344689379,191,0.07371671169429807
ovrbench,ozone-level-8hr,160,950,0.025,156,0.14104882459300086
ovrbench,page-blocks,560,1966,0.22857142857142856,432,0.1801501251041784
ovrbench,philippine,720,1167,0.0,720,0.38155802861664995
ovrbench,rice_cammeo_and_osmancik,173,872,0.5953757225433526,70,0.07430997876849861
ovrbench,seismic-bumps,170,966,0.08823529411764706,155,0.13826940231923437
ovrbench,sf-police-incidents,269319,2400,0.0,269319,0.9911673456769642
ovrbench,students_dropout_and_academic_success,312,884,0.13782051282051283,269,0.23330442324350972
ovrbench,thyroid-ann,284,1396,0.573943661971831,121,0.0797626895187345
ovrbench,visualizing_soil,328,1902,0.18902439024390244,266,0.12269372693721278
ovrbench,volcanoes-a4,150,546,0.5133333333333333,73,0.11793214862662693
ovrbench,volkert,724,2400,0.0,724,0.23175416133155194
ovrbench,waveform_database_generator_version_1,263,679,0.2661596958174905,193,0.22133027522910398
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,43,500,0.0,43,0.07918968692434772
ucr,002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,23,500,0.0,23,0.043977055449246696
ucr,003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,23,500,0.0,23,0.043977055449246696
ucr,007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544.txt,6,98,0.0,6,0.05769230769175296
ucr,009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.txt,7,102,0.0,7,0.06422018348564935
ucr,013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100.txt,10,374,0.4,6,0.015789473684168977
ucr,014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100.txt,10,374,0.5,5,0.013192612137168358
ucr,019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1_5000_6168_6212.txt,7,150,0.0,7,0.04458598726086251
ucr,020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388.txt,17,150,0.0,17,0.10179640718501919
ucr,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,14,94,0.0,14,0.12962962962842936
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.txt,11,91,0.0,11,0.10784313725384467
ucr,036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681.txt,9,84,0.0,9,0.09677419354734651
ucr,038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2_5000_27862_27932.txt,8,374,0.0,8,0.020942408376908528
ucr,043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440.txt,14,308,0.5714285714285714,6,0.019108280254716215
ucr,046_UCR_Anomaly_DISTORTEDPowerDemand3_16000_23405_23477.txt,9,374,0.0,9,0.023498694516909925
ucr,049_UCR_Anomaly_DISTORTEDTkeepFirstMARS_3500_5365_5380.txt,5,142,0.0,5,0.03401360544194549
ucr,052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809.txt,10,140,0.0,10,0.06666666666622223
ucr,056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211.txt,10,479,0.0,10,0.020449897750469428
ucr,057_UCR_Anomaly_DISTORTEDapneaecg4_6000_16000_16100.txt,10,478,0.0,10,0.020491803278646532
ucr,058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.txt,8,480,0.0,8,0.016393442622917226
ucr,059_UCR_Anomaly_DISTORTEDgait1_20000_38500_38800.txt,23,500,0.0,23,0.043977055449246696
ucr,060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800.txt,23,500,0.0,23,0.043977055449246696
ucr,062_UCR_Anomaly_DISTORTEDgaitHunt1_18500_33070_33180.txt,11,500,0.0,11,0.021526418786650632
ucr,063_UCR_Anomaly_DISTORTEDgaitHunt2_18500_31200_31850.txt,45,500,0.17777777777777778,37,0.06890130353804674
ucr,065_UCR_Anomaly_DISTORTEDinsectEPG1_3000_7000_7030.txt,6,124,0.0,6,0.04615384615349113
ucr,066_UCR_Anomaly_DISTORTEDinsectEPG2_3700_8000_8025.txt,5,119,0.0,5,0.040322580644836105
ucr,072_UCR_Anomaly_DISTORTEDltstdbs30791ES_20000_52600_52800.txt,16,500,0.125,14,0.02723735408555012
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.txt,25,500,0.04,24,0.04580152671746984
ucr,074_UCR_Anomaly_DISTORTEDqtdbSel1005V_4000_12400_12800.txt,29,450,0.034482758620689655,28,0.05857740585761804
ucr,075_UCR_Anomaly_DISTORTEDqtdbSel100MLII_4000_13400_13800.txt,29,374,0.0,29,0.07196029776657081
ucr,078_UCR_Anomaly_DISTORTEDresperation1_100000_110260_110412.txt,13,500,0.6923076923076923,4,0.00793650793649219
ucr,086_UCR_Anomaly_DISTORTEDsddb49_20000_67950_68200.txt,20,500,0.0,20,0.038461538461464495
ucr,087_UCR_Anomaly_DISTORTEDsel840mECG1_17000_51370_51740.txt,27,500,0.37037037037037035,17,0.03288201160535226
ucr,088_UCR_Anomaly_DISTORTEDsel840mECG2_20000_49370_49740.txt,27,473,0.0,27,0.053999999999892
ucr,089_UCR_Anomaly_DISTORTEDtiltAPB1_100000_114283_114350.txt,8,500,0.0,8,0.015748031496031992
ucr,091_UCR_Anomaly_DISTORTEDtiltAPB3_40000_114000_114370.txt,28,500,0.0,28,0.0530303030302026
ucr,093_UCR_Anomaly_NOISE1sddb40_35000_52000_52620.txt,43,500,0.0,43,0.07918968692434772
ucr,094_UCR_Anomaly_NOISEBIDMC1_2500_5400_5600.txt,17,136,0.0,17,0.11111111111038491
ucr,097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993.txt,7,150,0.0,7,0.04458598726086251
ucr,099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629.txt,13,95,0.0,13,0.12037037036925582
ucr,102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440.txt,14,308,0.14285714285714285,12,0.037499999999882815
ucr,103_UCR_Anomaly_NOISETkeepThirdMARS_3500_4711_4809.txt,10,140,0.0,10,0.06666666666622223
ucr,104_UCR_Anomaly_NOISEapneaecg4_6000_16000_16100.txt,10,478,0.0,10,0.020491803278646532
ucr,105_UCR_Anomaly_NOISEgait3_24500_59900_60500.txt,41,459,0.12195121951219512,36,0.0727272727271258
ucr,106_UCR_Anomaly_NOISEgaitHunt2_18500_31200_31850.txt,45,500,0.022222222222222223,44,0.08088235294102779
ucr,107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.txt,7,124,0.0,7,0.0534351145034089
ucr,111_UCR_Anomaly_3sddb40_35000_46600_46900.txt,23,500,0.0,23,0.043977055449246696
ucr,114_UCR_Anomaly_CIMIS44AirTemperature2_4000_5703_5727.txt,5,102,0.0,5,0.0467289719621801
ucr,115_UCR_Anomaly_CIMIS44AirTemperature3_4000_6520_6544.txt,6,98,0.0,6,0.05769230769175296
ucr,117_UCR_Anomaly_CIMIS44AirTemperature5_4000_4852_4900.txt,7,102,0.0,7,0.06422018348564935
ucr,121_UCR_Anomaly_ECG3_15000_16000_16100.txt,10,374,0.1,9,0.023498694516909925
ucr,122_UCR_Anomaly_ECG3_8000_17000_17100.txt,10,374,0.4,6,0.015789473684168977
ucr,146_UCR_Anomaly_Lab2Cmac011215EPG2_5000_27862_27932.txt,8,374,0.0,8,0.020942408376908528
