corpus,dataset,best,worst,mean,p10,p90,spread,oracle_gain,truefam
ovrbench,CardiacHealth,0.9807045582901661,-0.20601430655900765,0.3330683148620372,0.09059480817546531,0.9762101813382751,1.1867188648491738,0.6476362434281289,local
ovrbench,SensorAnomaly,0.201760925269512,-0.05183115929406933,0.03352903793088339,-0.04576309385449225,0.15226430039466682,0.25359208456358134,0.16823188733862862,local
ovrbench,BCellImmunity,0.2213960045775628,-0.06735577605270539,-0.009396573228801861,-0.06384526938905119,0.07888006273760652,0.2887517806302682,0.23079257780636467,global
oddbench,HealthPulse,0.08547211616728612,-0.02791874882210667,0.02218950046331465,-0.009664036458720928,0.07385992262643351,0.11339086498939278,0.06328261570397146,local
oddbench,PropertyCondition,0.03713488650970353,-0.19636506820915312,-0.05328827079178352,-0.15475408290889853,0.027813816704894197,0.23349995471885665,0.09042315730148705,local
ovrbench,HealthActivityObesity,-0.041874928710771364,-0.5036641944184549,-0.21592253457570387,-0.44449642498123987,-0.055645787669249214,0.4617892657076835,0.1740476058649325,local
oddbench,TransactionFeeAnomalies,0.5787743948891674,-0.31088986613486463,0.0777605971750044,-0.24585303062470898,0.5002822892368401,0.889664261024032,0.501013797714163,local
ovrbench,TwitterEmotion,0.1412343808555524,0.01697789927505208,0.06949584531565252,0.029666927958340326,0.1332712408720008,0.12425648158050032,0.07173853553989988,local
ovrbench,BoundingBoxClassification,0.7127004169582304,-0.14057746998143658,0.5153815164314403,0.3521897201643372,0.6707519298595256,0.853277886939667,0.19731890052679013,global
ovrbench,FootballEfficiency,0.28998299282597023,0.10941590163101442,0.20425281835030593,0.1605209159059253,0.2704278771016385,0.18056709119495581,0.0857301744756643,local
oddbench,GeneticVariation,0.3172493304810006,-0.08109382134760763,0.1519707006739879,-0.04572176280761801,0.3041051781789541,0.39834315182860824,0.16527862980701272,global
tsbad_m,140_CATSv2_id_3_Sensor_tr_28307_1st_2840,0.5559945467262936,0.014287088755929024,0.3281432692780188,0.05889909219336983,0.5515045342036868,0.5417074579703646,0.22785127744827477,global
adbench,35_SpamBase,0.7334679386524033,0.07953981837813269,0.510761977635831,0.31614071034501334,0.666896562586283,0.6539281202742706,0.22270596101657236,global
dami,SpamBase,0.7387424936151638,0.08347210274091789,0.39674948287000156,0.108026607340522,0.6819587228337792,0.6552703908742459,0.3419930107451622,global
tsbad_m,088_SVDB_id_5_Medical_tr_500_1st_168.csv,0.06442145377046167,-0.1358327236058875,-0.05790858643526521,-0.12513134742189813,0.05422039399767258,0.20025417737634915,0.12233004020572688,local
oddbench,ProsperLoan,0.10260896663167278,-0.0900346041763783,0.04290956171077458,-0.04611329343293939,0.08520855808482655,0.19264357080805108,0.0596994049208982,local
