corpus,dataset,n_hard,base_rate,oracle_apnorm,reg_beta1,reg_matched,reg_random,truefam
ovrbench,SensorAnomaly,1121,0.483,0.145,0.14794536123520605,0.13255670336340405,0.11683906194932138,local
tsbad_m,142_CATSv2_id_5_Sensor_tr_30704_1st_3080,1119,0.212,0.452,0.22181763885916342,0.22181763885916342,0.19818513696357604,global
oddbench,GPUResourceUsage,1096,0.477,0.47,0.5043193831518684,0.5155671181903612,0.4722613760137412,local
ovrbench,PokemonBattle,1075,0.473,0.313,0.0,0.08633225890678767,0.16645024971360123,local
ovrbench,EEGEyeState,1061,0.469,0.827,0.0,0.0,0.609274380196611,local
ovrbench,ShuttleOperations,1063,0.47,0.932,0.04586180154796449,0.04586180154796449,0.4116759155093407,local
tsbad_m,188_Exathlon_id_15_Facility_tr_12538_1st,1043,0.428,0.999,0.3208724608960869,0.3208724608960869,0.06569026565089098,global
ovrbench,BusinessAnomalies,996,0.454,0.401,0.04950785497802784,0.0,0.10478194131000707,local
oddbench,BarExamPrediction,1032,0.462,0.601,0.11130934677718868,0.11130934677718868,0.199454028555958,global
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,506,0.283,0.174,0.04824046052216091,0.04824046052216091,0.11396110500168552,local
ovrbench,CustomerChurn2,1009,0.457,0.382,0.3456254272945657,0.3456254272945657,0.23371073500549067,local
ovrbench,AirPressure,1000,0.455,0.944,0.5301013155940653,0.5301013155940653,0.1398877859847062,global
oddbench,TrialBehavior,968,0.446,0.136,0.13487713911020846,0.13487713911020846,0.1559079265380216,global
oddbench,TransactionFeeAnomalies,948,0.441,0.759,0.5271844605374378,0.5271844605374378,0.5900722065898943,global
ovrbench,TrafficSensor,917,0.433,0.769,0.0,0.0,0.5823522834609524,local
oddbench,RulePriorityAnomalies,904,0.587,0.251,0.14145468746119366,0.14145468746119366,0.10584377411001136,local
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,888,0.252,0.172,0.04763005686402638,0.04763005686402638,0.06972473891320655,local
ovrbench,GeotechnicalAnomalies,903,0.516,0.176,0.04537943372034706,0.3441295612404755,0.17953265554310777,local
ovrbench,FootballEfficiency,900,0.429,0.382,0.058539800565242384,0.12383259156817805,0.1044826341492554,local
ovrbench,SepsisMonitoring,872,0.421,0.217,0.18129140980278835,0.05843273964637333,0.08285440640422914,local
tsbad_m,098_SVDB_id_15_Medical_tr_500_1st_303.cs,843,0.236,0.209,0.032131023268388986,0.032131023268388986,0.1297105358073219,local
oddbench,HealthPulse,856,0.416,0.158,0.05881278650372143,0.12397347884886009,0.11674373673378674,local
ovrbench,FICO-HELOC-cleaned,832,0.447,0.113,0.2466568516207432,0.12071939065751892,0.09670059702656242,local
ovrbench,BatchProcessingEvents,815,0.404,0.013,0.07729131549520163,0.050057873943824625,0.05297221336204524,global
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,1257,0.347,0.531,0.10343842566348388,0.10343842566348388,0.055886444573330196,global
ovrbench,FinancialMetricsAnomaly,792,0.503,0.132,0.11485160476078247,0.11485160476078247,0.09991476545673313,global
adbench,30_satellite,784,0.471,0.425,0.053100135961561545,0.053100135961561545,0.32937559603678335,global
tsbad_m,022_MITDB_id_4_Medical_tr_50000_1st_5425,756,0.181,0.135,0.04168719422710335,0.04168719422710335,0.05887280209469911,local
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,748,0.224,0.144,0.0,0.0,0.14409185704929106,local
tsbad_m,113_SVDB_id_30_Medical_tr_4552_1st_4652.,738,0.222,0.563,0.043875852646793834,0.043875852646793834,0.0675091062250468,global
ovrbench,volkert,724,0.376,0.887,0.2728874011771425,0.2728874011771425,0.18134213032790647,global
