dataset,n_anom_win,median_purity,frac_below_0.5,frac_below_0.25,frac_single_pt,inbench,glob_mv
136_OPPORTUNITY_id_8_HumanActivity_tr_14,47,1.0,0.149,0.064,0.0,False,False
187_Exathlon_id_14_Facility_tr_6193_1st_,388,1.0,0.059,0.028,0.005,False,False
004_MSL_id_3_Sensor_tr_530_1st_630.csv,11,0.734,0.364,0.182,0.0,False,False
070_SMD_id_14_Facility_tr_1070_1st_1170.,54,0.453,0.537,0.278,0.0,False,False
071_SMD_id_15_Facility_tr_1109_1st_1209.,35,0.484,0.543,0.229,0.029,False,False
163_SMAP_id_20_Sensor_tr_2051_1st_4575.c,16,0.945,0.25,0.125,0.062,False,False
124_TAO_id_9_Environment_tr_500_1st_1.cs,596,0.047,1.0,1.0,0.154,False,False
143_CATSv2_id_6_Sensor_tr_50000_1st_6023,277,1.0,0.101,0.051,0.0,True,False
052_GHL_id_21_Sensor_tr_50000_1st_98001.,64,1.0,0.062,0.031,0.0,False,False
066_SMD_id_10_Facility_tr_2634_1st_2734.,92,1.0,0.326,0.239,0.011,False,False
121_TAO_id_6_Environment_tr_500_1st_7.cs,622,0.141,1.0,0.989,0.0,False,False
039_GHL_id_8_Sensor_tr_50000_1st_63030.c,77,1.0,0.052,0.026,0.0,False,False
134_OPPORTUNITY_id_6_HumanActivity_tr_14,26,1.0,0.154,0.077,0.0,False,False
159_SMAP_id_16_Sensor_tr_1757_1st_2650.c,28,0.586,0.393,0.179,0.0,False,False
157_SMAP_id_14_Sensor_tr_2126_1st_5000.c,27,0.984,0.259,0.111,0.0,False,False
031_MITDB_id_13_Medical_tr_50000_1st_794,723,1.0,0.148,0.071,0.001,True,False
006_MSL_id_5_Sensor_tr_1150_1st_1250.csv,39,0.781,0.308,0.154,0.0,False,False
146_SMAP_id_3_Sensor_tr_2128_1st_5000.cs,27,0.781,0.296,0.148,0.0,False,False
193_Exathlon_id_20_Facility_tr_8898_1st_,259,1.0,0.058,0.027,0.004,False,False
176_Exathlon_id_3_Facility_tr_10766_1st_,349,1.0,0.029,0.014,0.003,False,False
015_MSL_id_14_Sensor_tr_575_1st_1250.csv,22,1.0,0.182,0.091,0.0,False,False
063_SMD_id_7_Facility_tr_5923_1st_6506.c,123,0.562,0.472,0.236,0.008,False,False
191_Exathlon_id_18_Facility_tr_11665_1st,195,1.0,0.062,0.031,0.0,False,False
180_Exathlon_id_7_Facility_tr_10766_1st_,349,1.0,0.029,0.014,0.003,False,False
173_GECCO_id_1_Sensor_tr_16165_1st_16265,311,0.328,0.862,0.322,0.019,True,True
102_SVDB_id_19_Medical_tr_50000_1st_1073,860,1.0,0.026,0.012,0.002,True,False
